gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,degree_percentage,work_experience,emp_test_percentage,specialisation,mba_percent,status,hsc_subject_Arts,hsc_subject_Commerce,hsc_subject_Science,undergrad_degree_Comm&Mgmt,undergrad_degree_Others,undergrad_degree_Sci&Tech
1,67.0,0,91.0,0,58.0,0,55.0,0,58.8,1,0,1,0,0,0,1
1,79.33,1,78.33,0,77.48,1,86.5,1,66.28,1,0,0,1,0,0,1
1,65.0,1,68.0,1,64.0,0,75.0,1,57.8,1,1,0,0,1,0,0
1,56.0,1,52.0,1,52.0,0,66.0,0,59.43,0,0,0,1,0,0,1
1,85.8,1,73.6,1,73.3,0,96.8,1,55.5,1,0,1,0,1,0,0
1,55.0,0,49.8,0,67.25,1,55.0,1,51.58,0,0,0,1,0,0,1
0,46.0,0,49.2,0,79.0,0,74.28,1,53.29,0,0,1,0,1,0,0
1,82.0,1,64.0,1,66.0,1,67.0,1,62.14,1,0,0,1,0,0,1
1,73.0,1,79.0,1,72.0,0,91.34,1,61.29,1,0,1,0,1,0,0
1,58.0,1,70.0,1,61.0,0,54.0,1,52.21,0,0,1,0,1,0,0
1,58.0,1,61.0,1,60.0,1,62.0,0,60.85,1,0,1,0,1,0,0
1,69.6,1,68.4,1,78.3,1,60.0,1,63.7,1,0,1,0,1,0,0
0,47.0,1,55.0,0,65.0,0,62.0,0,65.04,0,0,0,1,1,0,0
0,77.0,1,87.0,1,59.0,0,68.0,1,68.63,1,0,1,0,1,0,0
1,62.0,1,47.0,1,50.0,0,76.0,0,54.96,0,0,1,0,1,0,0
0,65.0,1,75.0,1,69.0,1,72.0,1,64.66,1,0,1,0,1,0,0
1,63.0,1,66.2,1,65.6,1,60.0,1,62.54,1,0,1,0,1,0,0
0,55.0,1,67.0,1,64.0,0,60.0,1,67.28,0,0,1,0,1,0,0
0,63.0,1,66.0,1,64.0,0,68.0,0,64.08,0,0,1,0,1,0,0
1,60.0,0,67.0,0,70.0,1,50.48,1,77.89,1,1,0,0,1,0,0
1,62.0,0,65.0,0,66.0,0,50.0,0,56.7,1,0,1,0,1,0,0
0,79.0,0,76.0,0,85.0,0,95.0,1,69.06,1,0,1,0,1,0,0
0,69.8,0,60.8,0,72.23,0,55.53,0,68.81,1,0,0,1,0,0,1
0,77.4,0,60.0,0,64.74,1,92.0,1,63.62,1,0,0,1,0,0,1
1,76.5,0,97.7,0,78.86,0,97.4,1,74.01,1,0,0,1,0,0,1
0,52.58,0,54.6,1,50.2,1,76.0,1,65.33,0,0,1,0,1,0,0
1,71.0,0,79.0,0,66.0,1,94.0,1,57.55,1,0,1,0,1,0,0
